CustomerKey;First Name;Last Name;Full Name;Gender;DateFirstPurchase;Customer City;Customer Country
11000;Jon;Yang;JonYang;Male;19.01.2019;Rockhampton;Australia
11001;Eugene;Huang;EugeneHuang;Male;15.01.2019;Seaford;Australia
11002;Ruben;Torres;RubenTorres;Male;07.01.2019;Hobart;Australia
11003;Christy;Zhu;ChristyZhu;Female;29.12.2018;North Ryde;Australia
11004;Elizabeth;Johnson;ElizabethJohnson;Female;23.01.2019;Wollongong;Australia
11005;Julio;Ruiz;JulioRuiz;Male;30.12.2018;East Brisbane;Australia
11006;Janet;Alvarez;JanetAlvarez;Female;24.01.2019;Matraville;Australia
11007;Marco;Mehta;MarcoMehta;Male;09.01.2019;Warrnambool;Australia
11008;Rob;Verhoff;RobVerhoff;Female;25.01.2019;Bendigo;Australia
11009;Shannon;Carlson;ShannonCarlson;Male;27.01.2019;Hervey Bay;Australia
11010;Jacquelyn;Suarez;JacquelynSuarez;Female;14.01.2019;East Brisbane;Australia
11011;Curtis;Lu;CurtisLu;Male;30.12.2018;East Brisbane;Australia
11012;Lauren;Walker;LaurenWalker;Female;16.03.2021;Bremerton;United States
11013;Ian;Jenkins;IanJenkins;Male;13.04.2021;Lebanon;United States
11014;Sydney;Bennett;SydneyBennett;Female;23.03.2021;Redmond;United States
11015;Chloe;Young;ChloeYoung;Female;18.01.2021;Burbank;United States
11016;Wyatt;Hill;WyattHill;Male;09.02.2021;Imperial Beach;United States
11017;Shannon;Wang;ShannonWang;Female;12.01.2019;Sunbury;Australia
11018;Clarence;Rai;ClarenceRai;Male;17.01.2019;Bendigo;Australia
11019;Luke;Lal;LukeLal;Male;12.02.2021;Langley;Canada
11020;Jordan;King;JordanKing;Male;29.12.2020;Metchosin;Canada
11021;Destiny;Wilson;DestinyWilson;Female;23.01.2021;Beaverton;United States
11022;Ethan;Zhang;EthanZhang;Male;20.01.2021;Bellingham;United States
11023;Seth;Edwards;SethEdwards;Male;17.02.2021;Bellflower;United States
11024;Russell;Xie;RussellXie;Male;27.06.2021;Concord;United States
11025;Alejandro;Beck;AlejandroBeck;Male;06.01.2019;Hawthorne;Australia
11026;Harold;Sai;HaroldSai;Male;23.01.2019;Goulburn;Australia
11027;Jessie;Zhao;JessieZhao;Male;16.01.2019;Warrnambool;Australia
11028;Jill;Jimenez;JillJimenez;Female;26.01.2019;St. Leonards;Australia
11029;Jimmy;Moreno;JimmyMoreno;Male;19.01.2019;Bendigo;Australia
11030;Bethany;Yuan;BethanyYuan;Female;05.02.2019;Cloverdale;Australia
11031;Theresa;Ramos;TheresaRamos;Female;01.02.2019;Matraville;Australia
11032;Denise;Stone;DeniseStone;Female;18.02.2019;Melbourne;Australia
11033;Jaime;Nath;JaimeNath;Male;15.02.2019;Milsons Point;Australia
11034;Ebony;Gonzalez;EbonyGonzalez;Female;01.02.2019;North Sydney;Australia
11035;Wendy;Dominguez;WendyDominguez;Female;06.02.2019;Cranbourne;Australia
11036;Jennifer;Russell;JenniferRussell;Female;22.01.2021;National City;United States
11037;Chloe;Garcia;ChloeGarcia;Female;20.01.2021;Cliffside;Canada
11038;Diana;Hernandez;DianaHernandez;Female;07.02.2019;Lavender Bay;Australia
11039;Marc;Martin;MarcMartin;Male;07.02.2019;Wollongong;Australia
11040;Jesse;Murphy;JesseMurphy;Male;03.04.2021;Tacoma;United States
11041;Amanda;Carter;AmandaCarter;Female;14.01.2021;Glendale;United States
11042;Megan;Sanchez;MeganSanchez;Female;21.01.2021;Los Angeles;United States
11043;Nathan;Simmons;NathanSimmons;Male;08.05.2021;Glendale;United States
11044;Adam;Flores;AdamFlores;Male;28.02.2019;Hervey Bay;Australia
11045;Leonard;Nara;LeonardNara;Male;10.04.2021;Matraville;Australia
11046;Christine;Yuan;ChristineYuan;Female;06.02.2019;Lavender Bay;Australia
11047;Jaclyn;Lu;JaclynLu;Female;03.02.2019;Geelong;Australia
11048;Jeremy;Powell;JeremyPowell;Male;10.02.2019;Sunbury;Australia
11049;Carol;Rai;CarolRai;Female;09.03.2021;Chula Vista;United States
11050;Alan;Zheng;AlanZheng;Male;20.02.2019;Hobart;Australia
11051;Daniel;Johnson;DanielJohnson;Male;29.12.2021;Caloundra;Australia
